Reference period,Geography,VALUE
2025-09-01 00:00:00,Newfoundland and Labrador,0
2025-09-01 00:00:00,Nova Scotia,31790
2025-09-01 00:00:00,New Brunswick,2204
2025-09-01 00:00:00,Quebec,415948
2025-09-01 00:00:00,Ontario,165344
2025-09-01 00:00:00,Manitoba,533039
2025-09-01 00:00:00,Saskatchewan,2641
2025-09-01 00:00:00,Alberta,7745
2025-09-01 00:00:00,British Columbia,612864
2025-10-01 00:00:00,Canada,2184906
2025-10-01 00:00:00,Newfoundland and Labrador,0
2025-10-01 00:00:00,Nova Scotia,15056
2025-10-01 00:00:00,New Brunswick,11132
2025-10-01 00:00:00,Quebec,794720
2025-10-01 00:00:00,Ontario,153849
2025-10-01 00:00:00,Manitoba,468976
2025-10-01 00:00:00,Saskatchewan,7659
2025-10-01 00:00:00,Alberta,11289
2025-10-01 00:00:00,British Columbia,722225
2025-11-01 00:00:00,Canada,2668360
2025-11-01 00:00:00,Newfoundland and Labrador,0
2025-11-01 00:00:00,Nova Scotia,3864
2025-11-01 00:00:00,New Brunswick,16979
2025-11-01 00:00:00,Quebec,825462
2025-11-01 00:00:00,Ontario,318431
2025-11-01 00:00:00,Manitoba,615918
2025-11-01 00:00:00,Saskatchewan,8470
2025-11-01 00:00:00,Alberta,12856
2025-11-01 00:00:00,British Columbia,866380
